start,end,special_start,special_end
10/31/2000, 04/18/2001,,
10/30/2001, 04/17/2002,,
10/29/2002, 04/17/2003,,
10/28/2003, 04/14/2004,,
11/02/2004, 04/20/2005,,
11/01/2005, 04/19/2006,,
10/31/2006, 04/18/2007,,
10/30/2007, 04/16/2008,,
10/28/2008, 04/16/2009,,
10/27/2009, 04/14/2010,,
10/26/2010, 04/13/2011,,
12/25/2011, 04/26/2012,,
10/30/2012, 04/17/2013,,
10/29/2013, 04/16/2014,,
10/28/2014, 04/15/2015,,
10/27/2015, 04/13/2016,,
10/25/2016, 04/12/2017,,
10/17/2017, 04/11/2018,,
10/16/2018, 04/10/2019,,
10/22/2019, 03/11/2020, 06/30/2020, 08/14/2020
12/22/2020, 05/16/2021, 05/18/2021, 05/21/2021
10/19/2021, 04/10/2022,,
10/18/2022, 04/09/2023,,
10/24/2023, 04/14/2024,,